Designator,Footprint,Quantity,Value,LCSC Part #
BT1,TerminalBlock_Altech_AK300-2_P5.00mm,1,9.6V,
"C1, C2",CP_Elec_6.3x5.8,2,47uF,
"C10, C12, C3",0201,3,22n,
"C13, C9",01005,2,1u,
"C4, C8",0201,2,100p,
C5,0201,1,50p,
C6,0201,1,47n,
C7,0805,1,680n,
"D1, D2",C4SMARGYCS4V1BB1,2,LED,
IC2,SOT65P280X110-8N,1,TL072HIDDFR,
J1,TO-18-3,1,J201,
"J2, J4",SJ335083ATR-SMALL,2,SJ3-35083A-TR,
"R1, R11, R13, R2, R4, R8",0805,6,10k,
R10,0805,1,1k,
R12,0805,1,220,
"R3, R6",0805,2,1M,
R5,0805,1,2.2k,
R7,0805,1,4.7k,
R9,0805,1,680k,
"RV1, RV3",51CADE24E20L-SMALL,2,100k,
RV2,51CADE24E20L-SMALL,1,10k,
