Designator,Mid X,Mid Y,Rotation,Layer
BT1,190.5,-98.0,90.0,top
C1,161.07,-73.479,180.0,top
C10,185.0,-80.9,0.0,top
C12,185.5,-82.0,0.0,top
C13,166.5,-91.0,0.0,top
C2,161.07,-81.629,180.0,top
C3,181.0,-88.5,0.0,top
C4,181.0,-90.0,0.0,top
C5,181.0,-87.5,0.0,top
C6,181.0,-91.0,180.0,top
C7,179.0,-71.5,270.0,top
C8,187.5,-88.4325,90.0,top
C9,187.5,-86.5,90.0,top
D1,186.77,-71.9,180.0,top
D2,186.77,-77.5,0.0,top
IC2,184.5,-87.0,0.0,top
J1,162.135,-65.37,90.0,top
J2,147.0475,-74.981,0.0,top
J4,147.0475,-86.135,0.0,top
R1,175.5,-73.0,180.0,top
R10,187.5,-82.4,90.0,top
R11,167.5,-89.5,180.0,top
R12,175.5,-86.0,180.0,top
R13,175.5,-89.5,0.0,top
R2,175.5,-70.5,0.0,top
R3,169.0,-73.0,0.0,top
R4,169.0,-75.5,0.0,top
R5,175.5,-78.0,180.0,top
R6,175.42,-75.5,180.0,top
R7,181.0,-84.0,180.0,top
R8,175.5,-80.5,180.0,top
R9,175.5,-83.0,180.0,top
RV1,176.145,-98.155,270.0,top
RV2,161.065,-98.155,270.0,top
RV3,146.605,-98.155,270.0,top
